SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,AGE,FURNISH,amenity_luxury,FLOOR_NUM,PRICE
76.0,283.0,2.0,1.0,1184,2.0,3.0,2.0,1.0,1.27
417.0,334.0,2.0,1.0,910,2.0,3.0,2.0,1.0,0.42
1323.0,427.0,5.0,2.0,2839,2.0,3.0,2.0,1.0,5.1
1809.0,283.0,5.0,2.0,3186,2.0,3.0,2.0,1.0,4.27
419.0,192.0,3.0,2.0,1370,2.0,0.0,2.0,1.0,0.69
1784.0,427.0,2.0,1.0,800,3.0,1.0,2.0,1.0,0.48
1452.0,4.0,2.0,1.0,1266,1.0,0.0,2.0,1.0,0.98
723.0,54.0,3.0,1.0,1018,1.0,3.0,2.0,2.0,0.3
1031.0,192.0,3.0,1.0,1106,2.0,0.0,1.0,2.0,0.7
525.0,334.0,3.0,2.0,1379,1.0,2.0,2.0,2.0,0.65
1175.0,264.0,2.0,1.0,950,3.0,2.0,2.0,1.0,0.5
1321.0,382.0,2.0,1.0,1000,0.0,0.0,2.0,1.0,0.75
715.0,36.0,3.0,1.0,1100,0.0,1.0,1.0,2.0,0.42
650.0,54.0,5.0,1.0,1302,0.0,0.0,0.0,1.0,0.75
579.0,237.0,2.0,1.0,712,3.0,0.0,2.0,2.0,0.32
433.0,93.0,3.0,1.0,1524,3.0,1.0,0.0,0.0,0.6
1392.0,192.0,2.0,2.0,970,0.0,3.0,1.0,2.0,0.28
1581.0,72.0,2.0,1.0,825,0.0,1.0,1.0,2.0,0.67
1610.0,340.0,3.0,1.0,1137,1.0,1.0,2.0,2.0,0.4
1784.0,63.0,4.0,2.0,1500,0.0,0.0,2.0,1.0,0.65
850.0,427.0,2.0,1.0,860,2.0,0.0,2.0,1.0,0.45
1784.0,195.0,2.0,0.0,957,1.0,0.0,2.0,2.0,0.34
579.0,237.0,2.0,1.0,712,2.0,2.0,2.0,0.0,0.32
92.0,211.0,4.0,2.0,2838,2.0,3.0,2.0,1.0,2.81
1218.0,334.0,3.0,1.0,1188,1.0,1.0,2.0,2.0,0.56
1784.0,199.0,3.0,2.0,1054,0.0,3.0,2.0,1.0,0.55
433.0,237.0,3.0,1.0,1524,3.0,0.0,1.0,0.0,0.44
424.0,194.0,2.0,1.0,754,1.0,1.0,2.0,2.0,0.22
908.0,16.0,2.0,1.0,824,0.0,2.0,1.0,2.0,0.33
725.0,119.0,2.0,1.0,856,3.0,0.0,1.0,1.0,0.45
1737.0,149.0,2.0,0.0,856,0.0,3.0,1.0,1.0,0.3
1803.0,149.0,3.0,2.0,1210,0.0,1.0,1.0,1.0,0.63
1673.0,363.0,5.0,2.0,2520,2.0,1.0,1.0,1.0,0.78
781.0,126.0,3.0,1.0,2000,0.0,1.0,2.0,1.0,1.7
1521.0,274.0,2.0,2.0,975,1.0,3.0,2.0,1.0,0.3
1768.0,179.0,4.0,2.0,1562,3.0,2.0,1.0,2.0,0.6
438.0,141.0,3.0,1.0,1220,0.0,1.0,2.0,2.0,0.7
974.0,312.0,2.0,1.0,810,2.0,0.0,2.0,1.0,0.36
1684.0,63.0,3.0,1.0,1440,3.0,1.0,2.0,2.0,0.85
1127.0,369.0,2.0,1.0,990,3.0,2.0,2.0,1.0,0.85
441.0,144.0,3.0,1.0,1270,1.0,0.0,2.0,1.0,0.65
1784.0,164.0,2.0,1.0,970,0.0,1.0,2.0,2.0,0.4
595.0,31.0,2.0,1.0,1175,1.0,1.0,0.0,2.0,0.75
1784.0,278.0,2.0,0.0,660,3.0,0.0,2.0,1.0,0.3
765.0,78.0,2.0,0.0,730,0.0,2.0,2.0,1.0,0.32
1460.0,394.0,2.0,1.0,912,3.0,2.0,2.0,2.0,0.31
1142.0,359.0,3.0,1.0,1421,3.0,1.0,0.0,0.0,1.75
785.0,182.0,2.0,1.0,820,3.0,1.0,1.0,2.0,0.3
642.0,179.0,2.0,1.0,750,3.0,3.0,2.0,1.0,0.38
645.0,81.0,3.0,1.0,1398,3.0,2.0,2.0,2.0,0.8
1613.0,269.0,3.0,2.0,1328,3.0,0.0,2.0,1.0,0.4
774.0,118.0,2.0,1.0,640,1.0,1.0,1.0,2.0,0.18
416.0,427.0,2.0,1.0,812,1.0,3.0,1.0,1.0,0.72
746.0,36.0,3.0,1.0,1070,1.0,3.0,2.0,1.0,0.43
33.0,12.0,2.0,1.0,640,1.0,0.0,2.0,1.0,0.27
594.0,209.0,3.0,1.0,1175,2.0,3.0,1.0,0.0,0.61
367.0,131.0,3.0,1.0,950,0.0,1.0,2.0,1.0,0.36
1784.0,212.0,2.0,0.0,950,0.0,1.0,1.0,2.0,0.58
476.0,187.0,2.0,1.0,883,0.0,0.0,2.0,1.0,0.36
1488.0,232.0,2.0,1.0,935,3.0,3.0,1.0,2.0,0.38
1784.0,340.0,3.0,0.0,1075,2.0,1.0,1.0,2.0,0.34
738.0,183.0,2.0,1.0,913,3.0,0.0,1.0,1.0,0.7
1784.0,183.0,4.0,0.0,1260,0.0,1.0,2.0,2.0,0.35
732.0,57.0,2.0,1.0,879,2.0,0.0,1.0,2.0,0.3
1731.0,435.0,3.0,2.0,1350,0.0,1.0,1.0,2.0,0.43
1572.0,232.0,3.0,1.0,1267,2.0,0.0,0.0,2.0,0.6
1208.0,334.0,2.0,1.0,927,3.0,1.0,2.0,2.0,0.37
806.0,214.0,3.0,1.0,1230,0.0,1.0,1.0,2.0,0.75
1635.0,55.0,2.0,1.0,904,0.0,1.0,2.0,1.0,0.4
1715.0,108.0,3.0,1.0,1145,2.0,0.0,1.0,2.0,0.77
354.0,122.0,3.0,2.0,1379,3.0,0.0,2.0,2.0,0.75
711.0,179.0,3.0,2.0,1400,3.0,1.0,1.0,0.0,0.9
530.0,394.0,3.0,2.0,1359,1.0,1.0,2.0,2.0,0.8
1400.0,81.0,3.0,1.0,1000,0.0,1.0,1.0,2.0,0.35
561.0,358.0,2.0,1.0,650,0.0,1.0,1.0,2.0,0.23
389.0,334.0,3.0,1.0,1220,2.0,3.0,2.0,1.0,0.37
468.0,131.0,3.0,1.0,1400,1.0,3.0,2.0,1.0,0.65
1253.0,178.0,2.0,0.0,973,0.0,2.0,1.0,2.0,0.22
910.0,269.0,2.0,0.0,560,3.0,0.0,2.0,1.0,0.16
1487.0,334.0,2.0,1.0,780,2.0,1.0,2.0,2.0,0.31
1115.0,71.0,2.0,1.0,970,1.0,1.0,1.0,1.0,0.26
331.0,212.0,2.0,1.0,1000,0.0,0.0,2.0,1.0,0.5
1182.0,269.0,3.0,1.0,1362,1.0,0.0,1.0,2.0,0.6
682.0,99.0,3.0,1.0,1148,1.0,1.0,1.0,1.0,0.51
1032.0,199.0,3.0,1.0,1040,1.0,2.0,2.0,1.0,0.75
1642.0,33.0,2.0,1.0,720,0.0,0.0,2.0,2.0,0.18
1784.0,421.0,2.0,1.0,900,2.0,0.0,1.0,1.0,0.35
200.0,330.0,3.0,2.0,1345,0.0,3.0,2.0,2.0,0.68
819.0,306.0,3.0,2.0,1476,2.0,1.0,1.0,0.0,1.25
1223.0,197.0,2.0,1.0,1050,1.0,3.0,2.0,1.0,0.75
1386.0,149.0,2.0,1.0,500,0.0,3.0,2.0,2.0,0.19
217.0,232.0,3.0,2.0,1045,3.0,1.0,0.0,2.0,0.46
1786.0,357.0,2.0,0.0,950,0.0,3.0,2.0,1.0,0.42
1449.0,37.0,2.0,1.0,715,0.0,0.0,1.0,1.0,0.22
558.0,63.0,3.0,1.0,1180,3.0,0.0,1.0,2.0,0.4
315.0,346.0,3.0,1.0,1521,1.0,0.0,1.0,1.0,0.82
1784.0,183.0,2.0,0.0,830,2.0,0.0,2.0,1.0,0.3
579.0,237.0,2.0,1.0,712,2.0,0.0,2.0,2.0,0.28
1385.0,36.0,3.0,2.0,1454,0.0,1.0,1.0,2.0,0.55
1784.0,403.0,3.0,1.0,883,3.0,1.0,1.0,2.0,0.32
852.0,359.0,2.0,2.0,1050,3.0,0.0,2.0,1.0,0.65
552.0,197.0,2.0,1.0,768,0.0,0.0,2.0,2.0,0.36
1815.0,418.0,2.0,2.0,1210,1.0,2.0,0.0,2.0,0.6
305.0,214.0,3.0,2.0,1319,1.0,1.0,0.0,2.0,0.68
1464.0,18.0,4.0,2.0,1580,0.0,3.0,1.0,1.0,0.9
1366.0,12.0,2.0,1.0,861,3.0,1.0,1.0,2.0,0.36
1325.0,283.0,3.0,1.0,916,2.0,0.0,2.0,2.0,0.3
115.0,200.0,3.0,2.0,1100,0.0,1.0,2.0,2.0,0.45
1784.0,92.0,3.0,1.0,1215,3.0,2.0,2.0,2.0,0.7
1380.0,283.0,3.0,1.0,1196,2.0,3.0,2.0,1.0,0.58
1185.0,283.0,3.0,1.0,1268,2.0,3.0,2.0,1.0,0.65
