PROP_ID,PROPERTY_TYPE,SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,Price_per_sqft,PRICE,AGE,FURNISH,amenity_luxury,FLOOR_NUM,TOTAL_FLOOR
O70943060,flat,Siddha sky,Em Bypass,4.0,2.0,2465,10000.0,2.46,Old Property,Unfurnished,246.0,1,31.0
N70943056,flat,Siddha sky,Em Bypass,2.0,1.0,1300,10769.0,1.4,Old Property,Unfurnished,246.0,1,31.0
O70890370,flat,Bina niketan 2,Rajarhat,3.0,1.0,1150,3100.0,0.36,Old Property,Unfurnished,246.0,1,4.0
M67854104,flat,Shyam kunja,Sodepur,1.0,1.0,570,3325.0,0.19,Old Property,Unfurnished,21.0,2,4.0
F71090072,flat,Calibre nirmala square,Lake Town,3.0,2.0,1227,5786.0,0.71,Old Property,Fully furnished,281.0,2,6.0
E71294232,flat,Urban greens phase 2,Rajarhat,3.0,1.0,763,8501.0,0.65,Old Property,Unfurnished,246.0,1,9.0
T71294230,flat,Urban greens phase 2,Rajarhat,2.0,1.0,588,8673.0,0.51,Old Property,Unfurnished,246.0,1,9.0
G71294136,flat,Orbit urban park,New Town,4.0,2.0,2350,7404.0,1.74,Old Property,Unfurnished,246.0,1,22.0
B71294132,flat,Orbit urban park,New Town,3.0,1.0,1550,7419.0,1.15,Old Property,Unfurnished,246.0,1,22.0
C71294052,flat,Vinayak atlantis,New Town,4.0,2.0,2130,8063.0,1.72,Old Property,Unfurnished,246.0,1,25.0
X71294050,flat,Vinayak atlantis,New Town,3.0,1.0,1640,8000.0,1.31,Old Property,Unfurnished,246.0,1,25.0
P71293980,flat,Urban vista phase 1,Rajarhat,3.0,1.0,1083,6540.0,0.71,Old Property,Unfurnished,246.0,1,14.0
H71293976,flat,Urban vista phase 1,Rajarhat,2.0,1.0,800,6540.0,0.52,Old Property,Unfurnished,246.0,1,14.0
V71293710,flat,Srijan town square,New Town,4.0,2.0,2581,11623.0,3.0,Old Property,Unfurnished,246.0,1,25.0
Z71293706,flat,Srijan town square,New Town,3.0,1.0,1815,12672.0,2.3,Old Property,Unfurnished,246.0,1,25.0
Z65480594,flat,Saket nagar phase ll,Dunlop,3.0,1.0,1462,4550.0,0.68,Relatively New Property,Fully furnished,486.0,3,6.0
H69300598,flat,Arunima complex,Tollygunge,2.0,1.0,995,5527.0,0.55,New Property,Luxury furnished,376.0,1,4.0
C69612940,flat,Niva park phase 3,Brahmapur,2.0,1.0,750,3600.0,0.27,New Property,Unfurnished,19.0,0,4.0
D71420862,flat,Solaris city serampore,Serampore,1.0,1.0,400,3550.0,0.14,Old Property,Unfurnished,246.0,1,12.0
S71360112,flat,Solus,Madhyamgram,4.0,2.0,1528,4977.0,0.76,Old Property,Unfurnished,246.0,1,11.0
Y71360108,flat,Solus,Madhyamgram,2.0,1.0,897,5351.0,0.48,Old Property,Unfurnished,246.0,1,11.0
A71322892,flat,Diamond navya,Madhyamgram,4.0,2.0,1093,7374.0,0.81,Old Property,Unfurnished,246.0,1,11.0
L71245306,flat,Ideal aquaview,New Town,4.0,2.0,1950,6923.0,1.35,Old Property,Unfurnished,246.0,1,25.0
Q71245300,flat,Sunrise meadows,Santragachi,3.0,1.0,802,7845.0,0.63,Old Property,Unfurnished,246.0,1,20.0
K71245298,flat,Sunrise meadows,Santragachi,2.0,1.0,685,6906.0,0.47,Old Property,Unfurnished,246.0,1,20.0
S71245284,flat,Sureka sunrise aura,Narendrapur,2.0,1.0,677,5718.0,0.39,Old Property,Unfurnished,246.0,1,20.0
C71245258,flat,Ps jiva,Chingrighata,4.0,2.0,1490,14765.0,2.2,Old Property,Unfurnished,246.0,1,12.0
K71205736,flat,Solus,Madhyamgram,4.0,2.0,1528,4977.0,0.76,Old Property,Unfurnished,246.0,1,11.0
W71205732,flat,Solus,Madhyamgram,2.0,1.0,897,5351.0,0.48,Old Property,Unfurnished,246.0,1,11.0
M71205724,flat,Ps one 10,New Town,4.0,2.0,1508,11008.0,1.66,Old Property,Unfurnished,246.0,1,20.0
W71205282,flat,Ps one 10,New Town,4.0,2.0,1508,15216.0,2.29,Old Property,Unfurnished,246.0,1,20.0
O71165654,flat,Soham the levelz,Tollygunge,4.0,2.0,2499,9203.0,2.3,Old Property,Unfurnished,246.0,1,20.0
J71165652,flat,Soham the levelz,Tollygunge,3.0,1.0,1957,8175.0,1.6,Old Property,Unfurnished,246.0,1,20.0
D71165630,flat,Merlin elements,New Alipore,3.0,1.0,974,12834.0,1.25,Old Property,Unfurnished,246.0,1,12.0
E71152886,flat,Natural city lake town,Lake Town,4.0,2.0,1824,6030.0,1.1,Old Property,Unfurnished,246.0,1,10.0
O71152884,flat,Natural city lake town,Lake Town,3.0,1.0,1472,5750.0,0.85,Old Property,Unfurnished,246.0,1,10.0
A71137128,flat,Ambuja urvisha the condoville,New Town,2.0,1.0,1184,10726.0,1.27,Old Property,Unfurnished,246.0,1,11.0
V71118440,flat,Anik one rajarhat,New Town,3.0,1.0,1878,13045.0,2.45,Old Property,Unfurnished,246.0,1,23.0
J71118438,flat,Anik one rajarhat,New Town,2.0,1.0,1244,10450.0,1.3,Old Property,Unfurnished,246.0,1,23.0
Z71103464,flat,Ananth,Kamalgazi,3.0,1.0,1271,4200.0,0.53,Old Property,Unfurnished,246.0,1,4.0
L71103386,flat,Unimark springfield,Rajarhat,2.0,1.0,971,5700.0,0.55,Old Property,Unfurnished,246.0,1,10.0
G71075684,flat,Ozone,Em Bypass,4.0,2.0,2065,7748.0,1.6,Old Property,Unfurnished,246.0,1,24.0
B71075682,flat,Ozone,Em Bypass,3.0,1.0,1597,8140.0,1.3,Old Property,Unfurnished,246.0,1,24.0
X71006116,flat,Rajwada global city,Narendrapur,1.0,1.0,590,4500.0,0.27,Old Property,Unfurnished,246.0,1,20.0
E70965944,flat,Tata avenida,New Town,5.0,2.0,3479,10890.0,3.79,Old Property,Unfurnished,246.0,1,29.0
X70965940,flat,Tata avenida,New Town,4.0,2.0,2056,14591.0,3.0,Old Property,Unfurnished,246.0,1,29.0
A71274086,flat,The soul,Rajarhat,4.0,1.0,1009,12388.0,1.25,Old Property,Fully furnished,743.0,12,16.0
J69414194,flat,Ps one 10,New Town,2.0,1.0,1090,10091.0,1.1,Old Property,Fully furnished,634.0,9,20.0
V70930664,flat,Gita construction,Kanchrapara,3.0,1.0,1032,3200.0,0.33,Old Property,Fully furnished,225.0,3,5.0
